Humidity,Temperature,LDR,Weather
81,30.2,91,Sunny
81,30.2,88,Sunny
81,30.2,91,Sunny
81,30.2,91,Sunny
81,30.2,88,Sunny
81,30.2,90,Sunny
81,30.2,96,Sunny
81,30.2,96,Sunny
81,30.2,94,Sunny
81,30.2,96,Sunny
81,30.2,100,Sunny
81,30.2,104,Sunny
81,30.2,97,Sunny
81,30.2,102,Sunny
81,30.2,102,Sunny
81,30.2,103,Sunny
81,30.2,103,Sunny
81,30.2,88,Sunny
81,30.2,88,Sunny
80,30.2,88,Sunny
80,30.4,89,Sunny
80,30.5,89,Sunny
80,30.3,93,Sunny
80,30.6,97,Sunny
80,30.2,90,Sunny
80,30.4,89,Sunny
80,30.7,88,Sunny
80,30.7,87,Sunny
80,30.7,88,Sunny
80,30.7,87,Sunny
80,30.7,88,Sunny
80,30.7,88,Sunny
80,30.7,87,Sunny
80,30.7,87,Sunny
80,30.7,89,Sunny
80,30.7,88,Sunny
80,30.7,87,Sunny
80,30.7,87,Sunny
80,30.7,86,Sunny
80,30.7,87,Sunny
80,30.7,88,Sunny
80,30.7,89,Sunny
80,30.7,88,Sunny
80,30.7,88,Sunny
80,30.7,88,Sunny
80,30.7,89,Sunny
80,30.7,87,Sunny
80,30.7,87,Sunny
80,30.7,88,Sunny
80,30.7,87,Sunny
80,30.7,87,Sunny
80,30.7,87,Sunny
80,30.6,85,Sunny
80,30.7,86,Sunny
80,30.8,87,Sunny
80,30.7,87,Sunny
80,31.2,85,Sunny
80,31.1,85,Sunny
80,31,85,Sunny
80,30.8,87,Sunny
80,30.8,86,Sunny
79,30.8,84,Sunny
79,30.8,84,Sunny
79,30.8,87,Sunny
79,30.8,87,Sunny
79,30.8,84,Sunny
79,30.8,85,Sunny
79,30.8,87,Sunny
79,30.8,86,Sunny
79,30.8,86,Sunny
79,30.8,82,Sunny
79,30.8,87,Sunny
79,30.8,84,Sunny
79,30.8,84,Sunny
80,30.8,85,Sunny
79,30.8,84,Sunny
79,30.8,84,Sunny
79,30.8,86,Sunny
79,30.8,85,Sunny
79,30.9,84,Sunny
79,30.8,84,Sunny
79,30.8,81,Sunny
79,30.9,84,Sunny
79,30.9,85,Sunny
79,31,86,Sunny
79,31.3,84,Sunny
79,31.3,86,Sunny
79,31.3,84,Sunny
79,31.3,85,Sunny
79,31.3,88,Sunny
79,31.3,84,Sunny
79,31.3,87,Sunny
80,31.3,84,Sunny
80,31.3,82,Sunny
79,31.3,87,Sunny
79,31.3,85,Sunny
79,31.3,82,Sunny
79,31.3,84,Sunny
79,31.3,82,Sunny
79,31.3,85,Sunny
79,31.3,86,Sunny
79,31.3,85,Sunny
79,31.3,86,Sunny
79,31.3,86,Sunny
79,31.3,88,Sunny
79,31.3,84,Sunny
79,31.3,84,Sunny
79,31.3,84,Sunny
79,31.3,85,Sunny
79,31.3,85,Sunny
79,31.3,84,Sunny
79,31.3,81,Sunny
79,31.3,84,Sunny
79,31.3,84,Sunny
79,31.3,85,Sunny
79,31.3,84,Sunny
79,31.3,84,Sunny
79,31.3,82,Sunny
79,31.3,82,Sunny
79,31.3,81,Sunny
79,31.3,79,Sunny
79,31.3,82,Sunny
79,31.3,82,Sunny
79,31.4,78,Sunny
79,31.5,81,Sunny
79,31.8,82,Sunny
79,31.8,82,Sunny
79,31.8,81,Sunny
79,31.8,79,Sunny
78,31.8,81,Sunny
78,31.8,81,Sunny
78,31.8,79,Sunny
78,31.8,78,Sunny
78,31.8,79,Sunny
78,31.8,80,Sunny
78,31.8,81,Sunny
78,31.8,84,Sunny
78,31.8,82,Sunny
78,31.7,81,Sunny
78,31.7,82,Sunny
78,31.8,80,Sunny
78,31.8,80,Sunny
78,31.8,81,Sunny
77,31.8,79,Sunny
77,31.8,78,Sunny
77,31.7,80,Sunny
77,31.8,81,Sunny
77,31.8,81,Sunny
77,31.7,80,Sunny
77,31.7,79,Sunny
77,31.7,80,Sunny
77,31.7,79,Sunny
77,31.7,79,Sunny
77,31.6,80,Sunny
77,31.4,78,Sunny
77,31.4,78,Sunny
77,31.4,79,Sunny
77,31.5,79,Sunny
77,31.6,77,Sunny
78,31.7,80,Sunny
77,31.8,80,Sunny
77,31.8,80,Sunny
77,31.8,82,Sunny
78,31.8,82,Sunny
78,31.8,80,Sunny
78,31.8,81,Sunny
78,31.8,79,Sunny
78,31.8,77,Sunny
78,31.8,78,Sunny
78,31.8,79,Sunny
78,31.8,78,Sunny
78,31.7,78,Sunny
78,31.6,82,Sunny
78,31.5,78,Sunny
78,31.4,81,Sunny
78,31.6,79,Sunny
78,31.5,80,Sunny
78,31.5,80,Sunny
78,31.4,78,Sunny
78,31.4,80,Sunny
78,31.4,86,Sunny
78,31.4,80,Sunny
77,31.4,89,Sunny
77,31.4,80,Sunny
77,31.4,84,Sunny
77,31.4,80,Sunny
77,31.5,80,Sunny
77,31.4,80,Sunny
77,31.4,79,Sunny
77,31.4,82,Sunny
77,31.4,81,Sunny
77,31.4,85,Sunny
77,31.6,84,Sunny
77,31.9,86,Sunny
77,31.9,79,Sunny
77,31.9,84,Sunny
77,31.9,85,Sunny
77,31.9,88,Sunny
77,31.9,88,Sunny
77,31.9,88,Sunny
77,31.9,82,Sunny
77,31.9,84,Sunny
77,31.9,81,Sunny
77,31.9,81,Sunny
77,31.9,84,Sunny
77,31.9,80,Sunny
77,31.9,84,Sunny
77,31.9,80,Sunny
77,31.9,84,Sunny
77,31.9,84,Sunny
77,31.9,84,Sunny
77,31.9,89,Sunny
77,31.9,93,Sunny
77,31.9,88,Sunny
77,31.9,82,Sunny
77,31.9,84,Sunny
77,31.9,85,Sunny
77,31.9,87,Sunny
77,31.9,94,Sunny
77,31.9,97,Sunny
77,31.9,94,Sunny
77,31.9,96,Sunny
77,31.9,96,Sunny
78,31.9,93,Sunny
78,31.9,91,Sunny
78,31.9,92,Sunny
78,31.9,88,Sunny
78,31.9,87,Sunny
78,31.9,82,Sunny
78,31.9,79,Sunny
78,31.9,80,Sunny
78,31.9,80,Sunny
78,31.9,77,Sunny
77,31.9,77,Sunny
77,31.9,78,Sunny
77,31.9,78,Sunny
77,31.9,78,Sunny
77,31.9,79,Sunny
77,31.9,78,Sunny
77,31.9,78,Sunny
77,31.9,77,Sunny
77,31.9,79,Sunny
77,31.9,78,Sunny
77,31.9,80,Sunny
77,31.9,79,Sunny
77,31.9,77,Sunny
77,31.9,80,Sunny
77,31.9,77,Sunny
77,31.9,77,Sunny
77,31.9,80,Sunny
77,31.9,85,Sunny
76,31.9,87,Sunny
76,31.9,87,Sunny
